StartTime	EndTime	Turn	Interlocutor	Speech	Interruption
4482.5S	4619.8S	236	CLINTON:	He actually advocated for the actions we took in Libya and urged that Gadhafi be taken out, after actually doing some business with him one time. But the larger point — and he says this constantly — is George W. Bush made the agreement about when American troops would leave Iraq, not Barack Obama. And the only way that American troops could have stayed in Iraq is to get an agreement from the then-Iraqi government that would have protected our troops, and the Iraqi government would not give that. But let’s talk about the question you asked, Lester. The question you asked is, what do we do here in the United States? That’s the most important part of this. How do we prevent attacks? How do we protect our people? And I think we’ve got to have an intelligence surge, where we are looking for every scrap of information. I was so proud of law enforcement in New York, in Minnesota, in New Jersey. You know, they responded so quickly, so professionally to the attacks that occurred by Rahami. And they brought him down. And we may find out more information because he is still alive, which may prove to be an intelligence benefit. So we’ve got to do everything we can to vacuum up intelligence from Europe, from the Middle East. That means we’ve got to work more closely with our allies, and that’s something that Donald has been very dismissive of. We’re working with NATO, the longest military alliance in the history of the world, to really turn our attention to terrorism. We’re working with our friends in the Middle East, many of which, as you know, are Muslim majority nations. Donald has consistently insulted Muslims abroad, Muslims at home, when we need to be cooperating with Muslim nations and with the American Muslim community. They’re on the front lines. They can provide information to us that we might not get anywhere else. They need to have close working cooperation with law enforcement in these communities, not be alienated and pushed away as some of Donald’s rhetoric, unfortunately, has led to.	Yes
4620.2S	4620.9S	237	HOLT:	Mr. T-	No
4620.9S	4622S	238	TRUMP:	Well, I have to respond.	No
4622.2S	4622.7S	239	HOLT:	Please respond.	No
4622.9S	4757.1S	240	TRUMP:	The secretary said very strongly about working with — we’ve been working with them for many years, and we have the greatest mess anyone’s ever seen. You look at the Middle East, it’s a total mess. Under your direction, to a large extent. But you look at the Middle East, you started the Iran deal, that’s another beauty where you have a country that was ready to fall, I mean, they were doing so badly. They were choking on the sanctions. And now they’re going to be actually probably a major power at some point pretty soon, the way they’re going. But when you look at NATO, I was asked on a major show, what do you think of NATO? And you have to understand, I’m a businessperson. I did really well. But I have common sense. And I said, well, I’ll tell you. I haven’t given lots of thought to NATO. But two things. Number one, the 28 countries of NATO, many of them aren’t paying their fair share. Number two — and that bothers me, because we should be asking — we’re defending them, and they should at least be paying us what they’re supposed to be paying by treaty and contract. And, number two, I said, and very strongly, NATO could be obsolete, because — and I was very strong on this, and it was actually covered very accurately in the New York Times, which is unusual for the New York Times, to be honest — but I said, they do not focus on terror. And I was very strong. And I said it numerous times. And about four months ago, I read on the front page of the Wall Street Journal that NATO is opening up a major terror division. And I think that’s great. And I think we should get — because we pay approximately 73 percent of the cost of NATO. It’s a lot of money to protect other people. But I’m all for NATO. But I said they have to focus on terror, also. And they’re going to do that. And that was — believe me — I’m sure I’m not going to get credit for it — but that was largely because of what I was saying and my criticism of NATO. I think we have to get NATO to go into the Middle East with us, in addition to surrounding nations, and we have to knock the hell out of ISIS, and we have to do it fast, when ISIS formed in this vacuum created by Barack Obama and Secretary Clinton. And believe me, you were the ones that took out the troops. Not only that, you named the day. They couldn’t believe it. They sat back probably and said, I can’t believe it. They said…	No
4756.3S	4757.2S	241	CLINTON:	Lester, we’ve covered a…	Yes
4757.3S	4757.8S	242	TRUMP:	No, wait a minute.	No
4758S	4759.1S	243	CLINTON:	We’ve covered this ground.	No
4758.5S	4776.1S	244	TRUMP:	When they formed, when they formed, this is something that never should have happened. It should have never happened. Now, you’re talking about taking out ISIS. But you were there, and you were secretary of state when it was a little infant. Now it’s in over 30 countries. And you’re going to stop them? I don’t think so.	Yes
4776.3S	4783.3S	245	HOLT:	Mr. Trump, a lot of these are judgement questions. You had supported the war in Iraq before the invasion. What makes your judgement (INAUDIBLE)...	No
4783.3S	4785.4S	246	TRUMP:	I did not support the war in Iraq.	No
4784.5S	4786.4S	247	HOLT:	In 2002…	Yes
4786S	4794.8S	248	TRUMP:	That is a mainstream media nonsense put out by her, because she — frankly, I think the best person in her campaign is mainstream media.	Yes
4795S	4796.6S	249	HOLT:	My question is, since you supported it…	No
4795.5S	4796.8S	250	TRUMP:	Just — would you like to hear…	Yes
4796.9S	4798.8S	251	HOLT:	… why is your — why is your judgment…	No
4797.3S	4802.7S	252	TRUMP:	I was against the war. Wait a minute. I was against the war in Iraq. Just so you put it out.	Yes
4802.7S	4804.4S	253	HOLT:	The record shows otherwise, but why — why was…	No
4803.2S	4805.1S	254	TRUMP:	And I- The record does not show that.	Yes
4804.9S	4806.4S	255	HOLT:	Why was — is your judgment any…	Yes
4805.9S	4839.8S	256	TRUMP:	The record shows that I’m right. When I did an interview with Howard Stern, very lightly, first time anyone’s asked me that, I said, very lightly, I don’t know, maybe, who knows? Essentially. I then did an interview with Neil Cavuto. We talked about the economy is more important. I then spoke to Sean Hannity, which everybody refuses to call Sean Hannity. I had numerous conversations with Sean Hannity at Fox. And Sean Hannity said — and he called me the other day — and I spoke to him about it — he said you were totally against the war, because he was for the war.	Yes
4839.9S	4841.2S	257	HOLT:	Why is your judgment better than…	No
4840S	4898.5S	258	TRUMP:	And when he — excuse me. And that was before the war started. Sean Hannity said very strongly to me and other people — he’s willing to say it, but nobody wants to call him. I was against the war. He said, you used to have fights with me, because Sean was in favor of the war. And I understand that side, also, not very much, because we should have never been there. But nobody called Sean Hannity. And then they did an article in a major magazine, shortly after the war started. I think in ’04. But they did an article which had me totally against the war in Iraq. And one of your compatriots said, you know, whether it was before or right after, Trump was definitely — because if you read this article, there’s no doubt. But if somebody — and I’ll ask the press — if somebody would call up Sean Hannity, this was before the war started. He and I used to have arguments about the war. I said, it’s a terrible and a stupid thing. It’s going to destabilize the Middle East. And that’s exactly what it’s done. It’s been a disaster.	Yes
4897.7S	4901.2S	259	HOLT:	My reference was to what you had said in 2002, and my question was…	Yes
4901.4S	4902.5S	260	TRUMP:	No, no. You didn’t hear what I said.	No
4901.4S	4905.7S	261	HOLT:	... why is your judgment — why is your judgment any different than Mrs. Clinton’s judgment?	Yes
4905.3S	4933.2S	262	TRUMP:	Well, I have much better judgment than she does. There’s no question about that. I also have a much better temperament than she has, you know? (LAUGHTER) I have a much better — she spent — let me tell you — she spent hundreds of millions of dollars on an advertising — you know, they get Madison Avenue into a room, they put names — oh, temperament, let’s go after — I think my strongest asset, maybe by far, is my temperament. I have a winning temperament. I know how to win. She does not have a…	Yes
4933.1S	4933.7S	263	HOLT:	Secretary Clinton?	Yes
4933.7S	4948S	264	TRUMP:	Wait. The AFL-CIO the other day, behind the blue screen, I don’t know who you were talking to, Secretary Clinton, but you were totally out of control. I said, there’s a person with a temperament that’s got a problem.	No
4948.5S	4949S	265	HOLT:	Secretary Clinton?	No
4949.3S	5069.7S	266	CLINTON:	Whew, OK. (LAUGHTER) Let’s talk about two important issues that were briefly mentioned by Donald, first, NATO. You know, NATO as a military alliance has something called Article 5, and basically it says this: An attack on one is an attack on all. And you know the only time it’s ever been invoked? After 9/11, when the 28 nations of NATO said that they would go to Afghanistan with us to fight terrorism, something that they still are doing by our side. With respect to Iran, when I became secretary of state, Iran was weeks away from having enough nuclear material to form a bomb. They had mastered the nuclear fuel cycle under the Bush administration. They had built covert facilities. They had stocked them with centrifuges that were whirling away. And we had sanctioned them. I voted for every sanction against Iran when I was in the Senate, but it wasn’t enough. So I spent a year-and-a-half putting together a coalition that included Russia and China to impose the toughest sanctions on Iran. And we did drive them to the negotiating table. And my successor, John Kerry, and President Obama got a deal that put a lid on Iran’s nuclear program without firing a single shot. That’s diplomacy. That’s coalition-building. That’s working with other nations. The other day, I saw Donald saying that there were some Iranian sailors on a ship in the waters off of Iran, and they were taunting American sailors who were on a nearby ship. He said, you know, if they taunted our sailors, I’d blow them out of the water and start another war. That’s not good judgment.	No
5068.4S	5069.3S	267	TRUMP:	That would not start a war.	Yes
5070.2S	5078S	268	CLINTON:	That is not the right temperament to be commander-in-chief, to be taunted. And the worst part…	No
5077.9S	5079.1S	269	TRUMP:	No, they were taunting us.	Yes
5078S	5107.1S	270	CLINTON:	… of what we've heard Donald say has been about nuclear weapons. He has said repeatedly that he didn’t care if other nations got nuclear weapons, Japan, South Korea, even Saudi Arabia. It has been the policy of the United States, Democrats and Republicans, to do everything we could to reduce the proliferation of nuclear weapons. He even said, well, you know, if there were nuclear war in East Asia, well, you know, that’s fine, you know…	Yes
5106.9S	5107.2S	271	TRUMP:	Wrong.	Yes
5107.2S	5108.3S	272	CLINTON:	… have a good time, folks.	No
5108.6S	5109.1S	273	TRUMP:	It’s lies.	No
5108.8S	5137.1S	274	CLINTON:	And, in fact, his cavalier attitude about nuclear weapons is so deeply troubling. That is the number-one threat we face in the world. And it becomes particularly threatening if terrorists ever get their hands on any nuclear material. So a man who can be provoked by a tweet should not have his fingers anywhere near the nuclear codes, as far as I think anyone with any sense about this should be concerned.	Yes
5137.2S	5137.7S	275	HOLT:	(INAUDIBLE)	No
5137.2S	5139.5S	276	TRUMP:	That line’s getting a little bit old, I must say. Listen.	Yes
5139.6S	5140.4S	277	CLINTON:	It’s a good one, though.	No
5139.9S	5140.8S	278	TRUMP:	I would like to-	Yes
5140.9S	5142.2S	279	CLINTON:	It well describes the problem.	No
5141S	5200.9S	280	TRUMP:	No it's- it’s not an- it's not an accurate one at all. It’s not an accurate one. So I just want to give a lot of things — and just to respond. I agree with her on one thing. The single greatest problem the world has is nuclear armament, nuclear weapons. Not global warming, like you think and your — your president thinks. Nuclear is the single greatest threat. Just to go down the list, we defend Japan, we defend Germany, we defend South Korea, we defend Saudi Arabia, we defend countries. They do not pay us. But they should be paying us, because we are providing tremendous service and we’re losing a fortune. That’s why we’re losing — we’re losing — we lose on everything. I say, who makes these — we lose on everything. All I said, that it’s very possible that if they don’t pay a fair share, because this isn’t 40 years ago where we could do what we’re doing. We can’t defend Japan, a behemoth, selling us cars by the million…	No
5200.8S	5202S	281	HOLT:	We need to move on.	Yes
5201.8S	5211.8S	282	TRUMP:	Well, wait, but it’s very important. All I said was, they may have to defend themselves or they have to help us out. We’re a country that owes $20 trillion. They have to help us out.	Yes
5212S	5212.6S	283	HOLT:	Our last…	No
5212.3S	5219.8S	284	TRUMP:	As far as the nuclear is concerned, I agree. It is the single greatest threat that this country has.	Yes
5219.7S	5234.5S	285	HOLT:	Which leads to my next question, as we enter our last segment here (INAUDIBLE) the subject of securing America. On nuclear weapons, President Obama reportedly considered changing the nation’s longstanding policy on first use. Do you support the current policy? Mr. Trump, you have two minutes on that.	Yes
5234.6S	5359.2S	286	TRUMP:	Well, I have to say that, you know, for what Secretary Clinton was saying about nuclear with Russia, she’s very cavalier in the way she talks about various countries. But Russia has been expanding their — they have a much newer capability than we do. We have not been updating from the new standpoint. I looked the other night. I was seeing B-52s, they’re old enough that your father, your grandfather could be flying them. We are not — we are not keeping up with other countries. I would like everybody to end it, just get rid of it. But I would certainly not do first strike. I think that once the nuclear alternative happens, it’s over. At the same time, we have to be prepared. I can’t take anything off the table. Because you look at some of these countries, you look at North Korea, we’re doing nothing there. China should solve that problem for us. China should go into North Korea. China is totally powerful as it relates to North Korea. And by the way, another one powerful is the worst deal I think I’ve ever seen negotiated that you started is the Iran deal. Iran is one of their biggest trading partners. Iran has power over North Korea. And when they made that horrible deal with Iran, they should have included the fact that they do something with respect to North Korea. And they should have done something with respect to Yemen and all these other places. And when asked to Secretary Kerry, why didn’t you do that? Why didn’t you add other things into the deal? One of the great giveaways of all time, of all time, including $400 million in cash. Nobody’s ever seen that before. That turned out to be wrong. It was actually $1.7 billion in cash, obviously, I guess for the hostages. It certainly looks that way. So you say to yourself, why didn’t they make the right deal? This is one of the worst deals ever made by any country in history. The deal with Iran will lead to nuclear problems. All they have to do is sit back 10 years, and they don’t have to do much.	No
5359.2S	5360.5S	287	HOLT:	Your two minutes is expired.	No
5359.4S	5365.5S	288	TRUMP:	And they’re going to end up getting nuclear. I met with Bibi Netanyahu the other day. Believe me, he’s not a happy camper.	Yes
5366S	5368.6S	289	HOLT:	All right. Mrs. Clinton, Secretary Clinton, you have two minutes.	No
5367.2S	5507.1S	290	CLINTON:	Well, let me — let me start by saying, words matter. Words matter when you run for president. And they really matter when you are president. And I want to reassure our allies in Japan and South Korea and elsewhere that we have mutual defence treaties and we will honor them. It is essential that America’s word be good. And so I know that this campaign has caused some questioning and worries on the part of many leaders across the globe. I’ve talked with a number of them. But I want to — on behalf of myself, and I think on behalf of a majority of the American people, say that, you know, our word is good. It’s also important that we look at the entire global situation. There’s no doubt that we have other problems with Iran. But personally, I’d rather deal with the other problems having put that lid on their nuclear program than still to be facing that. And Donald never tells you what he would do. Would he have started a war? Would he have bombed Iran? If he’s going to criticize a deal that has been very successful in giving us access to Iranian facilities that we never had before, then he should tell us what his alternative would be. But it’s like his plan to defeat ISIS. He says it’s a secret plan, but the only secret is that he has no plan. So we need to be more precise in how we talk about these issues. People around the word follow our presidential campaigns so closely, trying to get hints about what we will do. Can they rely on us? Are we going to lead the world with strength and in accordance with our values? That’s what I intend to do. I intend to be a leader of our country that people can count on, both here at home and around the world, to make decisions that will further peace and prosperity, but also stand up to bullies, whether they’re abroad or at home. We cannot let those who would try to destabilize the world to interfere with American interests and security…	Yes
5507.4S	5508.2S	291	HOLT:	Your two minutes is…	No
5507.6S	5510.2S	292	CLINTON:	… to be given any opportunities at all.	Yes
5510.3S	5510.8S	293	HOLT:	… is expired.	No
5510.9S	5512.2S	294	TRUMP:	Lester, one thing I’d like to say.	No
5512.3S	5513.7S	295	HOLT:	Very quickly. Twenty seconds.	No
5513S	5531.2S	296	TRUMP:	I will go very quickly. But I will tell you that Hillary will tell you to go to her website and read all about how to defeat ISIS, which she could have defeated by never having it, you know, get going in the first place. Right now, it’s getting tougher and tougher to defeat them, because they’re in more and more places, more and more states, more and more nations.	Yes
5531.3S	5531.7S	297	HOLT:	Mr. Trump…	No
5531.4S	5548.7S	298	TRUMP:	And it’s a big problem. And as far as Japan is concerned, I want to help all of our allies, but we are losing billions and billions of dollars. We cannot be the policemen of the world. We cannot protect countries all over the world…	Yes
5548.7S	5549.1S	299	HOLT:	We have just…	No
5549.2S	5551.1S	300	TRUMP:	… where they’re not paying us what we need.	No
5551.3S	5552.8S	301	HOLT:	We have just a few final questions…	No
5551.5S	5572.9S	302	TRUMP:	And she doesn’t say that, because she’s got no business ability. We need heart. We need a lot of things. But you have to have some basic ability. And sadly, she doesn’t have that. All of the things that she’s talking about could have been taken care of during the last 10 years, let’s say, while she had great power. But they weren’t taken care of. And if she ever wins this race, they won’t be taken care of.	Yes
5572.4S	5584S	303	HOLT:	Mr. Trump, this year Secretary Clinton became the first woman nominated for president by a major party. Earlier this month, you said she doesn’t have, quote, “a presidential look.” She’s standing here right now. What did you mean by that?	Yes
5584.5S	5597.3S	304	TRUMP:	She doesn’t have the look. She doesn’t have the stamina. I said she doesn’t have the stamina. And I don’t believe she does have the stamina. To be president of this country, you need tremendous stamina.	No
5597.4S	5600.2S	305	HOLT:	The quote was, “I just don’t think she has the presidential look.”	No
5598S	5628S	306	TRUMP:	You have — wait a minute. Wait a minute, Lester. You asked me a question. Did you ask me a question? You have to be able to negotiate our trade deals. You have to be able to negotiate, that’s right, with Japan, with Saudi Arabia. I mean, can you imagine, we’re defending Saudi Arabia? And with all of the money they have, we’re defending them, and they’re not paying? All you have to do is speak to them. Wait. You have so many different things you have to be able to do, and I don’t believe that Hillary has the stamina.	Yes
5628.1S	5628.9S	307	HOLT:	Let’s let her respond.	No
5630.1S	5651.9S	308	CLINTON:	Well, as soon as he travels to 112 countries and negotiates a peace deal, a cease-fire, a release of dissidents, an opening of new opportunities in nations around the world, or even spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina.	No
5652.8S	5690.1S	309	TRUMP:	The world — let me tell you. Let me tell you. Hillary has experience, but it’s bad experience. We have made so many bad deals during the last — so she’s got experience, that I agree. (APPLAUSE) But it’s bad, bad experience. Whether it’s the Iran deal that you’re so in love with, where we gave them $150 billion back, whether it’s the Iran deal, whether it’s anything you can — name — you almost can’t name a good deal. I agree. She’s got experience, but it’s bad experience. And this country can’t afford to have another four years of that kind of experience.	No
5689.7S	5693.5S	310	HOLT:	We are at — we are at the final question.	Yes
5692.4S	5694.9S	311	CLINTON:	Well, one thing. One thing, Lester...	No
5694.3S	5696.3S	312	HOLT:	Very quickly, because we’re at the final question now.	Yes
5695.2S	5713.4S	313	CLINTON:	... is, you know, he tried to switch from looks to stamina. But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said…	Yes
5712.7S	5713.3S	314	TRUMP:	I never said that.	Yes
5713.7S	5717.7S	315	CLINTON:	…. women don’t deserve equal pay unless they do as good a job as men.	No
5717.1S	5717.7S	316	TRUMP:	I didn’t say that.	Yes
5718.9S	5739.6S	317	CLINTON:	And one of the worst things he said was about a woman in a beauty contest. He loves beauty contests, supporting them and hanging around them. And he called this woman “Miss Piggy.” Then he called her “Miss Housekeeping,” because she was Latina. Donald, she has a name.	No
5739.4S	5741.4S	318	TRUMP:	Where did you find this? Where did you find this?	Yes
5740.2S	5742.3S	319	CLINTON:	Her name is Alicia Machado.	Yes
5742.3S	5743.1S	320	TRUMP:	Where did you find this?	No
5742.8S	5746.3S	321	CLINTON:	And she has become a U.S. citizen, and you can bet…	Yes
5746.5S	5746.8S	322	TRUMP:	Oh, really?	No
5746.8S	5748.9S	323	CLINTON:	… she’s going to vote this November.	No
5747.8S	5750.4S	324	TRUMP:	OK. OK, good. Let me just tell you…	Yes
5751.2S	5754.1S	325	HOLT:	Mr. Trump, could we just take 10 seconds and then we're going to have the final question…	No
5751.4S	5773.7S	326	TRUMP:	Let me just tell you. You know, Hillary is hitting me with tremendous commercials. Some of it’s said in entertainment. Some of it’s said — somebody who’s been very vicious to me, Rosie O’Donnell, I said very tough things to her, and I think everybody would agree that she deserves it and nobody feels sorry for her. But you want to know the truth? I was going to say something extremely…	Yes
5772.9S	5773.7S	327	HOLT:	Please very quickly.	Yes
5774.6S	5810.4S	328	TRUMP:	… rough to Hillary, to her family, and I said to myself, “I can’t do it. I just can’t do it. It’s inappropriate. It’s not nice.” But she spent hundreds of millions of dollars on negative ads on me, many of which are absolutely untrue. They’re untrue. And they’re misrepresentations. And I will tell you this, Lester: It’s not nice. And I don’t deserve that. But it’s certainly not a nice thing that she’s done. It’s hundreds of millions of ads. And the only gratifying thing is, I saw the polls come in today, and with all of that money…	No
5810.4S	5812.2S	329	HOLT:	We have to move on to the final question.	No
5810.6S	5816.7S	330	TRUMP:	… where $200 million is spent, and I’m either winning or tied, and I’ve spent practically nothing.	Yes
5816.8S	5825.8S	331	HOLT:	One of you will not win this election. So my final question to you tonight, are you willing to accept the outcome as the will of the voters? Secretary Clinton?	No
5862.2S	5893S	332	TRUMP:	I want to make America great again. We are a nation that is seriously troubled. We’re losing our jobs. People are pouring into our country. The other day, we were deporting 800 people. And perhaps they passed the wrong button, they pressed the wrong button, or perhaps worse than that, it was corruption, but these people that we were going to deport for good reason ended up becoming citizens. Ended up becoming citizens. And it was 800. And now it turns out it might be 1,800, and they don’t even know.	No
5892.9S	5894.3S	333	HOLT:	Will you accept the outcome of the election?	Yes
5893.3S	5902.9S	334	TRUMP:	Look, here’s the story. I want to make America great again. I’m going to be able to do it. I don’t believe Hillary will. The answer is, if she wins, I will absolutely support her.	Yes
5903.2S	5936.2S	335	HOLT:	All right. Well, that is going to do it for us. That concludes our debate for this evening, a spirited one. We covered a lot of ground, not everything as I suspected we would. The next presidential debates are scheduled for October 9th at Washington University in St. Louis and October 19th at the University of Nevada Las Vegas. The conversation will continue. A reminder. The vice presidential debate is scheduled for October 4th at Longwood University in Farmville, Virginia. My thanks to Hillary Clinton and to Donald Trump and to Hofstra University for hosting us tonight. Good night everyone.	No
