Start time	Interlocutor	Speech	End time	Interruptions	Absolute time start	Absolute time end				
(1:05:12.8)	TRUMP:	Yeah. I do want to say that I was just endorsed — and more are coming next week — it will be over 200 admirals, many of them here — admirals and generals endorsed me to lead this country. That just happened, and many more are coming. And I’m very proud of it. In addition, I was just endorsed by ICE. They’ve never endorsed anybody before on immigration. I was just endorsed by ICE. I was just recently endorsed — 16,500 Border Patrol agents. So when Secretary Clinton talks about this, I mean, I’ll take the admirals and I’ll take the generals any day over the political hacks that I see that have led our country so brilliantly over the last 10 years with their knowledge. OK? Because look at the mess that we’re in. Look at the mess that we’re in. As far as the cyber, I agree to parts of what Secretary Clinton said. We should be better than anybody else, and perhaps we’re not. I don’t think anybody knows it was Russia that broke into the DNC. She’s saying Russia, Russia, Russia, but I don’t — maybe it was. I mean, it could be Russia, but it could also be China. It could also be lots of other people. It also could be somebody sitting on their bed that weighs 400 pounds, OK? You don’t know who broke in to DNC. But what did we learn with DNC? We learned that Bernie Sanders was taken advantage of by your people, by Debbie Wasserman Schultz. Look what happened to her. But Bernie Sanders was taken advantage of. That’s what we learned. Now, whether that was Russia, whether that was China, whether it was another country, we don’t know, because the truth is, under President Obama we’ve lost control of things that we used to have control over. We came in with the Internet, we came up with the Internet, and I think Secretary Clinton and myself would agree very much, when you look at what ISIS is doing with the Internet, they’re beating us at our own game. ISIS. So we have to get very, very tough on cyber and cyber warfare. It is — it is a huge problem. I have a son. He’s 10 years old. He has computers. He is so good with these computers, it’s unbelievable. The security aspect of cyber is very, very tough. And maybe it’s hardly doable. But I will say, we are not doing the job we should be doing. But that’s true throughout our whole governmental society. We have so many things that we have to do better, Lester, and certainly cyber is one of them.	(1:07:39.1)	x						
(1:07:39.5)	HOLT:	Secretary Clinton?	(1:07:40.1)							
(1:07:41.4)	CLINTON:	Well, I think there are a number of issues that we should be addressing. I have put forth a plan to defeat ISIS. It does involve going after them online. I think we need to do much more with our tech companies to prevent ISIS and their operatives from being able to use the Internet to radicalize, even direct people in our country and Europe and elsewhere. But we also have to intensify our air strikes against ISIS and eventually support our Arab and Kurdish partners to be able to actually take out ISIS in Raqqa, end their claim of being a Caliphate. We’re making progress. Our military is assisting in Iraq. And we’re hoping that within the year we’ll be able to push ISIS out of Iraq and then, you know, really squeeze them in Syria. But we have to be cognizant of the fact that they’ve had foreign fighters coming to volunteer for them, foreign money, foreign weapons, so we have to make this the top priority. And I would also do everything possible to take out their leadership. I was involved in a number of efforts to take out Al Qaida leadership when I was secretary of state, including, of course, taking out bin Laden. And I think we need to go after Baghdadi, as well, make that one of our organizing principles. Because we’ve got to defeat ISIS, and we’ve got to do everything we can to disrupt their propaganda efforts online.	(1:09:19.3)							
(1:09:19.5)	HOLT:	You mention ISIS, and we think of ISIS certainly as over there, but there are American citizens who have been inspired to commit acts of terror on American soil, the latest incident, of course, the bombings we just saw in New York and New Jersey, the knife attack at a mall in Minnesota, in the last year, deadly attacks in San Bernardino and Orlando. I’ll ask this to both of you. Tell us specifically how you would prevent homegrown attacks by American citizens, Mr. Trump?	(1:09:45.1)							
(1:09:44.9)	TRUMP:	Well, first I have to say one thing, very important. Secretary Clinton is talking about taking out ISIS. “We will take out ISIS.” Well, President Obama and Secretary Clinton created a vacuum the way they got out of Iraq, because they got out — what, they shouldn’t have been in, but once they got in, the way they got out was a disaster. And ISIS was formed. So she talks about taking them out. She’s been doing it a long time. She’s been trying to take them out for a long time. But they wouldn’t have even been formed if they left some troops behind, like 10,000 or maybe something more than that. And then you wouldn’t have had them. Or, as I’ve been saying for a long time, and I think you’ll agree, because I said it to you once, had we taken the oil — and we should have taken the oil — ISIS would not have been able to form either, because the oil was their primary source of income. And now they have the oil all over the place, including the oil — a lot of the oil in Libya, which was another one of her disasters.	(1:10:45.0)	x						
(1:10:45.8)	HOLT:	Secretary Clinton?	(1:10:46.5)							
(1:10:47.3)	CLINTON:	Well, I hope the fact-checkers are turning up the volume and really working hard. Donald supported the invasion of Iraq.	(1:10:55.6)							
(1:10:55.9)	TRUMP:	Wrong.	(1:10:56.3)							
(1:10:56.3)	CLINTON:	That is absolutely proved over and over again.	(1:10:59.3)							
(1:10:57.6)	TRUMP:	Wrong. Wrong.	(1:11:00.1)	x						
(1:10:59.8)	CLINTON:	He actually advocated for the actions we took in Libya and urged that Gadhafi be taken out, after actually doing some business with him one time. But the larger point — and he says this constantly — is George W. Bush made the agreement about when American troops would leave Iraq, not Barack Obama. And the only way that American troops could have stayed in Iraq is to get an agreement from the then-Iraqi government that would have protected our troops, and the Iraqi government would not give that. But let’s talk about the question you asked, Lester. The question you asked is, what do we do here in the United States? That’s the most important part of this. How do we prevent attacks? How do we protect our people? And I think we’ve got to have an intelligence surge, where we are looking for every scrap of information. I was so proud of law enforcement in New York, in Minnesota, in New Jersey. You know, they responded so quickly, so professionally to the attacks that occurred by Rahami. And they brought him down. And we may find out more information because he is still alive, which may prove to be an intelligence benefit. So we’ve got to do everything we can to vacuum up intelligence from Europe, from the Middle East. That means we’ve got to work more closely with our allies, and that’s something that Donald has been very dismissive of. We’re working with NATO, the longest military alliance in the history of the world, to really turn our attention to terrorism. We’re working with our friends in the Middle East, many of which, as you know, are Muslim majority nations. Donald has consistently insulted Muslims abroad, Muslims at home, when we need to be cooperating with Muslim nations and with the American Muslim community. They’re on the front lines. They can provide information to us that we might not get anywhere else. They need to have close working cooperation with law enforcement in these communities, not be alienated and pushed away as some of Donald’s rhetoric, unfortunately, has led to.	(1:13:17.1)	x						
(1:13:17.5)	HOLT:	Mr. T-	(1:13:18.2)							
(1:13:18.2)	TRUMP:	Well, I have to respond.	(1:13:19.3)							
(1:13:19.5)	HOLT:	Please respond.	(1:13:20.0)							
(1:13:20.2)	TRUMP:	The secretary said very strongly about working with — we’ve been working with them for many years, and we have the greatest mess anyone’s ever seen. You look at the Middle East, it’s a total mess. Under your direction, to a large extent. But you look at the Middle East, you started the Iran deal, that’s another beauty where you have a country that was ready to fall, I mean, they were doing so badly. They were choking on the sanctions. And now they’re going to be actually probably a major power at some point pretty soon, the way they’re going. But when you look at NATO, I was asked on a major show, what do you think of NATO? And you have to understand, I’m a businessperson. I did really well. But I have common sense. And I said, well, I’ll tell you. I haven’t given lots of thought to NATO. But two things. Number one, the 28 countries of NATO, many of them aren’t paying their fair share. Number two — and that bothers me, because we should be asking — we’re defending them, and they should at least be paying us what they’re supposed to be paying by treaty and contract. And, number two, I said, and very strongly, NATO could be obsolete, because — and I was very strong on this, and it was actually covered very accurately in the New York Times, which is unusual for the New York Times, to be honest — but I said, they do not focus on terror. And I was very strong. And I said it numerous times. And about four months ago, I read on the front page of the Wall Street Journal that NATO is opening up a major terror division. And I think that’s great. And I think we should get — because we pay approximately 73 percent of the cost of NATO. It’s a lot of money to protect other people. But I’m all for NATO. But I said they have to focus on terror, also. And they’re going to do that. And that was — believe me — I’m sure I’m not going to get credit for it — but that was largely because of what I was saying and my criticism of NATO. I think we have to get NATO to go into the Middle East with us, in addition to surrounding nations, and we have to knock the hell out of ISIS, and we have to do it fast, when ISIS formed in this vacuum created by Barack Obama and Secretary Clinton. And believe me, you were the ones that took out the troops. Not only that, you named the day. They couldn’t believe it. They sat back probably and said, I can’t believe it. They said…	(1:15:34.4)							
(1:15:33.6)	CLINTON:	Lester, we’ve covered a…	(1:15:34.5)	x						
(1:15:34.6)	TRUMP:	No, wait a minute.	(1:15:35.1)							
(1:15:35.3)	CLINTON:	We’ve covered this ground.	(1:15:36.4)							
(1:15:35.8)	TRUMP:	When they formed, when they formed, this is something that never should have happened. It should have never happened. Now, you’re talking about taking out ISIS. But you were there, and you were secretary of state when it was a little infant. Now it’s in over 30 countries. And you’re going to stop them? I don’t think so.	(1:15:53.4)	x						
(1:15:53.6)	HOLT:	Mr. Trump, a lot of these are judgement questions. You had supported the war in Iraq before the invasion. What makes your judgement (INAUDIBLE)...	(1:16:00.6)							
(1:16:00.6)	TRUMP:	I did not support the war in Iraq.	(1:16:02.7)							
(1:16:01.8)	HOLT:	In 2002…	(1:16:03.7)	x						
(1:16:03.3)	TRUMP:	That is a mainstream media nonsense put out by her, because she — frankly, I think the best person in her campaign is mainstream media.	(1:16:12.1)	x						
(1:16:12.3)	HOLT:	My question is, since you supported it…	(1:16:13.9)							
(1:16:12.8)	TRUMP:	Just — would you like to hear…	(1:16:14.1)	x						
(1:16:14.2)	HOLT:	… why is your — why is your judgment…	(1:16:16.1)							
(1:16:14.6)	TRUMP:	I was against the war. Wait a minute. I was against the war in Iraq. Just so you put it out.	(1:16:20.0)	x						
(1:16:20.0)	HOLT:	The record shows otherwise, but why — why was…	(1:16:21.7)							
(1:16:20.5)	TRUMP:	And I- The record does not show that.	(1:16:22.4)	x						
(1:16:22.2)	HOLT:	Why was — is your judgment any…	(1:16:23.7)	x						
(1:16:23.2)	TRUMP:	The record shows that I’m right. When I did an interview with Howard Stern, very lightly, first time anyone’s asked me that, I said, very lightly, I don’t know, maybe, who knows? Essentially. I then did an interview with Neil Cavuto. We talked about the economy is more important. I then spoke to Sean Hannity, which everybody refuses to call Sean Hannity. I had numerous conversations with Sean Hannity at Fox. And Sean Hannity said — and he called me the other day — and I spoke to him about it — he said you were totally against the war, because he was for the war.	(1:16:57.1)	x						
(1:16:57.2)	HOLT:	Why is your judgment better than…	(1:16:58.5)							
(1:16:57.3)	TRUMP:	And when he — excuse me. And that was before the war started. Sean Hannity said very strongly to me and other people — he’s willing to say it, but nobody wants to call him. I was against the war. He said, you used to have fights with me, because Sean was in favor of the war. And I understand that side, also, not very much, because we should have never been there. But nobody called Sean Hannity. And then they did an article in a major magazine, shortly after the war started. I think in ’04. But they did an article which had me totally against the war in Iraq. And one of your compatriots said, you know, whether it was before or right after, Trump was definitely — because if you read this article, there’s no doubt. But if somebody — and I’ll ask the press — if somebody would call up Sean Hannity, this was before the war started. He and I used to have arguments about the war. I said, it’s a terrible and a stupid thing. It’s going to destabilize the Middle East. And that’s exactly what it’s done. It’s been a disaster.	(1:17:55.8)	x						
(1:17:55.0)	HOLT:	My reference was to what you had said in 2002, and my question was…	(1:17:58.5)	x						
(1:17:58.7)	TRUMP:	No, no. You didn’t hear what I said.	(1:17:59.8)							
(1:17:58.7)	HOLT:	... why is your judgment — why is your judgment any different than Mrs. Clinton’s judgment?	(1:18:03.0)	x						
(1:18:02.6)	TRUMP:	Well, I have much better judgment than she does. There’s no question about that. I also have a much better temperament than she has, you know? (LAUGHTER) I have a much better — she spent — let me tell you — she spent hundreds of millions of dollars on an advertising — you know, they get Madison Avenue into a room, they put names — oh, temperament, let’s go after — I think my strongest asset, maybe by far, is my temperament. I have a winning temperament. I know how to win. She does not have a…	(1:18:30.5)	x						
(1:18:30.4)	HOLT:	Secretary Clinton?	(1:18:31.0)	x						
(1:18:31.0)	TRUMP:	Wait. The AFL-CIO the other day, behind the blue screen, I don’t know who you were talking to, Secretary Clinton, but you were totally out of control. I said, there’s a person with a temperament that’s got a problem.	(1:18:45.3)							
(1:18:45.8)	HOLT:	Secretary Clinton?	(1:18:46.3)							
(1:18:46.6)	CLINTON:	Whew, OK. (LAUGHTER) Let’s talk about two important issues that were briefly mentioned by Donald, first, NATO. You know, NATO as a military alliance has something called Article 5, and basically it says this: An attack on one is an attack on all. And you know the only time it’s ever been invoked? After 9/11, when the 28 nations of NATO said that they would go to Afghanistan with us to fight terrorism, something that they still are doing by our side. With respect to Iran, when I became secretary of state, Iran was weeks away from having enough nuclear material to form a bomb. They had mastered the nuclear fuel cycle under the Bush administration. They had built covert facilities. They had stocked them with centrifuges that were whirling away. And we had sanctioned them. I voted for every sanction against Iran when I was in the Senate, but it wasn’t enough. So I spent a year-and-a-half putting together a coalition that included Russia and China to impose the toughest sanctions on Iran. And we did drive them to the negotiating table. And my successor, John Kerry, and President Obama got a deal that put a lid on Iran’s nuclear program without firing a single shot. That’s diplomacy. That’s coalition-building. That’s working with other nations. The other day, I saw Donald saying that there were some Iranian sailors on a ship in the waters off of Iran, and they were taunting American sailors who were on a nearby ship. He said, you know, if they taunted our sailors, I’d blow them out of the water and start another war. That’s not good judgment.	(1:20:47.0)							
(1:20:45.7)	TRUMP:	That would not start a war.	(1:20:46.6)	x						
(1:20:47.5)	CLINTON:	That is not the right temperament to be commander-in-chief, to be taunted. And the worst part…	(1:20:55.3)							
(1:20:55.2)	TRUMP:	No, they were taunting us.	(1:20:56.4)	x						
(1:20:55.3)	CLINTON:	… of what we've heard Donald say has been about nuclear weapons. He has said repeatedly that he didn’t care if other nations got nuclear weapons, Japan, South Korea, even Saudi Arabia. It has been the policy of the United States, Democrats and Republicans, to do everything we could to reduce the proliferation of nuclear weapons. He even said, well, you know, if there were nuclear war in East Asia, well, you know, that’s fine, you know…	(1:21:24.4)	x						
(1:21:24.2)	TRUMP:	Wrong.	(1:21:24.5)	x						
(1:21:24.5)	CLINTON:	… have a good time, folks.	(1:21:25.6)							
(1:21:25.9)	TRUMP:	It’s lies.	(1:21:26.4)							
(1:21:26.1)	CLINTON:	And, in fact, his cavalier attitude about nuclear weapons is so deeply troubling. That is the number-one threat we face in the world. And it becomes particularly threatening if terrorists ever get their hands on any nuclear material. So a man who can be provoked by a tweet should not have his fingers anywhere near the nuclear codes, as far as I think anyone with any sense about this should be concerned.	(1:21:54.4)	x						
(1:21:54.5)	HOLT:	(INAUDIBLE)	(1:21:55.0)							
(1:21:54.5)	TRUMP:	That line’s getting a little bit old, I must say. Listen.	(1:21:56.8)	x						
(1:21:56.9)	CLINTON:	It’s a good one, though.	(1:21:57.7)							
(1:21:57.2)	TRUMP:	I would like to-	(1:21:58.1)	x						
(1:21:58.2)	CLINTON: 	It well describes the problem.	(1:21:59.5)							
(LAUGHTER)										
(1:21:58.3)	TRUMP:	No it's- it’s not an- it's not an accurate one at all. It’s not an accurate one. So I just want to give a lot of things — and just to respond. I agree with her on one thing. The single greatest problem the world has is nuclear armament, nuclear weapons. Not global warming, like you think and your — your president thinks. Nuclear is the single greatest threat. Just to go down the list, we defend Japan, we defend Germany, we defend South Korea, we defend Saudi Arabia, we defend countries. They do not pay us. But they should be paying us, because we are providing tremendous service and we’re losing a fortune. That’s why we’re losing — we’re losing — we lose on everything. I say, who makes these — we lose on everything. All I said, that it’s very possible that if they don’t pay a fair share, because this isn’t 40 years ago where we could do what we’re doing. We can’t defend Japan, a behemoth, selling us cars by the million…	(1:22:58.2)							
(1:22:58.1)	HOLT:	We need to move on.	(1:22:59.3)	x						
(1:22:59.1)	TRUMP:	Well, wait, but it’s very important. All I said was, they may have to defend themselves or they have to help us out. We’re a country that owes $20 trillion. They have to help us out.	(1:23:09.1)	x						
(1:23:09.3)	HOLT:	Our last…	(1:23:09.9)							
(1:23:09.6)	TRUMP:	As far as the nuclear is concerned, I agree. It is the single greatest threat that this country has.	(1:23:17.1)	x						
(1:23:17.0)	HOLT:	Which leads to my next question, as we enter our last segment here (INAUDIBLE) the subject of securing America. On nuclear weapons, President Obama reportedly considered changing the nation’s longstanding policy on first use. Do you support the current policy? Mr. Trump, you have two minutes on that.	(1:23:31.8)	x						
(1:23:31.9)	TRUMP:	Well, I have to say that, you know, for what Secretary Clinton was saying about nuclear with Russia, she’s very cavalier in the way she talks about various countries. But Russia has been expanding their — they have a much newer capability than we do. We have not been updating from the new standpoint. I looked the other night. I was seeing B-52s, they’re old enough that your father, your grandfather could be flying them. We are not — we are not keeping up with other countries. I would like everybody to end it, just get rid of it. But I would certainly not do first strike. I think that once the nuclear alternative happens, it’s over. At the same time, we have to be prepared. I can’t take anything off the table. Because you look at some of these countries, you look at North Korea, we’re doing nothing there. China should solve that problem for us. China should go into North Korea. China is totally powerful as it relates to North Korea. And by the way, another one powerful is the worst deal I think I’ve ever seen negotiated that you started is the Iran deal. Iran is one of their biggest trading partners. Iran has power over North Korea. And when they made that horrible deal with Iran, they should have included the fact that they do something with respect to North Korea. And they should have done something with respect to Yemen and all these other places. And when asked to Secretary Kerry, why didn’t you do that? Why didn’t you add other things into the deal? One of the great giveaways of all time, of all time, including $400 million in cash. Nobody’s ever seen that before. That turned out to be wrong. It was actually $1.7 billion in cash, obviously, I guess for the hostages. It certainly looks that way. So you say to yourself, why didn’t they make the right deal? This is one of the worst deals ever made by any country in history. The deal with Iran will lead to nuclear problems. All they have to do is sit back 10 years, and they don’t have to do much.	(1:25:36.5)							
(1:25:36.5)	HOLT:	Your two minutes is expired.	(1:25:37.8)							
(1:25:36.7)	TRUMP:	And they’re going to end up getting nuclear. I met with Bibi Netanyahu the other day. Believe me, he’s not a happy camper.	(1:25:42.8)	x						
(1:25:43.3)	HOLT:	All right. Mrs. Clinton, Secretary Clinton, you have two minutes.	(1:25:45.9)							
(1:25:44.5)	CLINTON:	Well, let me — let me start by saying, words matter. Words matter when you run for president. And they really matter when you are president. And I want to reassure our allies in Japan and South Korea and elsewhere that we have mutual defence treaties and we will honor them. It is essential that America’s word be good. And so I know that this campaign has caused some questioning and worries on the part of many leaders across the globe. I’ve talked with a number of them. But I want to — on behalf of myself, and I think on behalf of a majority of the American people, say that, you know, our word is good. It’s also important that we look at the entire global situation. There’s no doubt that we have other problems with Iran. But personally, I’d rather deal with the other problems having put that lid on their nuclear program than still to be facing that. And Donald never tells you what he would do. Would he have started a war? Would he have bombed Iran? If he’s going to criticize a deal that has been very successful in giving us access to Iranian facilities that we never had before, then he should tell us what his alternative would be. But it’s like his plan to defeat ISIS. He says it’s a secret plan, but the only secret is that he has no plan. So we need to be more precise in how we talk about these issues. People around the word follow our presidential campaigns so closely, trying to get hints about what we will do. Can they rely on us? Are we going to lead the world with strength and in accordance with our values? That’s what I intend to do. I intend to be a leader of our country that people can count on, both here at home and around the world, to make decisions that will further peace and prosperity, but also stand up to bullies, whether they’re abroad or at home. We cannot let those who would try to destabilize the world to interfere with American interests and security…	(1:28:04.4)	x						
(1:28:04.7)	HOLT:	Your two minutes is…	(1:28:05.5)							
(1:28:04.9)	CLINTON:	… to be given any opportunities at all.	(1:28:07.5)	x						
(1:28:07.6)	HOLT:	… is expired.	(1:28:08.1)							
(1:28:08.2)	TRUMP:	Lester, one thing I’d like to say.	(1:28:09.5)							
(1:28:09.6)	HOLT:	Very quickly. Twenty seconds.	(1:28:11.0)							
(1:28:10.3)	TRUMP:	I will go very quickly. But I will tell you that Hillary will tell you to go to her website and read all about how to defeat ISIS, which she could have defeated by never having it, you know, get going in the first place. Right now, it’s getting tougher and tougher to defeat them, because they’re in more and more places, more and more states, more and more nations.	(1:28:28.5)	x						
(1:28:28.6)	HOLT:	Mr. Trump…	(1:28:29.0)							
(1:28:28.7)	TRUMP:	And it’s a big problem. And as far as Japan is concerned, I want to help all of our allies, but we are losing billions and billions of dollars. We cannot be the policemen of the world. We cannot protect countries all over the world…	(1:28:46.0)	x						
(1:28:46.0)	HOLT:	We have just…	(1:28:46.4)							
(1:28:46.5)	TRUMP:	… where they’re not paying us what we need.	(1:28:48.4)							
(1:28:48.6)	HOLT:	We have just a few final questions…	(1:28:50.1)							
(1:28:48.8)	TRUMP:	And she doesn’t say that, because she’s got no business ability. We need heart. We need a lot of things. But you have to have some basic ability. And sadly, she doesn’t have that. All of the things that she’s talking about could have been taken care of during the last 10 years, let’s say, while she had great power. But they weren’t taken care of. And if she ever wins this race, they won’t be taken care of.	(1:29:10.2)	x						
(1:29:09.7)	HOLT:	Mr. Trump, this year Secretary Clinton became the first woman nominated for president by a major party. Earlier this month, you said she doesn’t have, quote, “a presidential look.” She’s standing here right now. What did you mean by that?	(1:29:21.3)	x						
(1:29:21.8)	TRUMP:	She doesn’t have the look. She doesn’t have the stamina. I said she doesn’t have the stamina. And I don’t believe she does have the stamina. To be president of this country, you need tremendous stamina.	(1:29:34.6)							
(1:29:34.7)	HOLT:	The quote was, “I just don’t think she has the presidential look.”	(1:29:37.5)							
(1:29:35.3)	TRUMP:	You have — wait a minute. Wait a minute, Lester. You asked me a question. Did you ask me a question? You have to be able to negotiate our trade deals. You have to be able to negotiate, that’s right, with Japan, with Saudi Arabia. I mean, can you imagine, we’re defending Saudi Arabia? And with all of the money they have, we’re defending them, and they’re not paying? All you have to do is speak to them. Wait. You have so many different things you have to be able to do, and I don’t believe that Hillary has the stamina.	(1:30:05.3)	x						
(1:30:05.4)	HOLT:	Let’s let her respond.	(1:30:06.2)							
(1:30:07.4)	CLINTON:	Well, as soon as he travels to 112 countries and negotiates a peace deal, a cease-fire, a release of dissidents, an opening of new opportunities in nations around the world, or even spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina.	(1:30:29.2)							
(1:30:30.1)	TRUMP:	The world — let me tell you. Let me tell you. Hillary has experience, but it’s bad experience. We have made so many bad deals during the last — so she’s got experience, that I agree. (APPLAUSE) But it’s bad, bad experience. Whether it’s the Iran deal that you’re so in love with, where we gave them $150 billion back, whether it’s the Iran deal, whether it’s anything you can — name — you almost can’t name a good deal. I agree. She’s got experience, but it’s bad experience. And this country can’t afford to have another four years of that kind of experience.	(1:31:07.4)							
(1:31:07.0)	HOLT:	We are at — we are at the final question.	(1:31:10.8)	x						
(1:31:09.7)	CLINTON:	Well, one thing. One thing, Lester...	(1:31:12.2)							
(1:31:11.6)	HOLT:	Very quickly, because we’re at the final question now.	(1:31:13.6)	x						
(1:31:12.5)	CLINTON:	... is, you know, he tried to switch from looks to stamina. But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said…	(1:31:30.7)	x						
(1:31:30.0)	TRUMP:	I never said that.	(1:31:30.6)	x						
(1:31:31.0)	CLINTON:	…. women don’t deserve equal pay unless they do as good a job as men.	(1:31:35.0)							
(1:31:34.4)	TRUMP:	I didn’t say that.	(1:31:35.0)	x						
(1:31:36.2)	CLINTON:	And one of the worst things he said was about a woman in a beauty contest. He loves beauty contests, supporting them and hanging around them. And he called this woman “Miss Piggy.” Then he called her “Miss Housekeeping,” because she was Latina. Donald, she has a name.	(1:31:56.9)							
(1:31:56.7)	TRUMP:	Where did you find this? Where did you find this?	(1:31:58.7)	x						
(1:31:57.5)	CLINTON:	Her name is Alicia Machado.	(1:31:59.6)	x						
(1:31:59.6)	TRUMP:	Where did you find this?	(1:32:00.4)							
(1:32:00.1)	CLINTON:	And she has become a U.S. citizen, and you can bet…	(1:32:03.6)	x						
(1:32:03.8)	TRUMP:	Oh, really?	(1:32:04.1)							
(1:32:04.1)	CLINTON:	… she’s going to vote this November.	(1:32:06.2)							
(1:32:05.1)	TRUMP:	OK. OK, good. Let me just tell you…	(1:32:07.7)	x						
(1:32:08.5)	HOLT:	Mr. Trump, could we just take 10 seconds and then we're going to have the final question…	(1:32:11.4)							
(1:32:08.7)	TRUMP:	Let me just tell you. You know, Hillary is hitting me with tremendous commercials. Some of it’s said in entertainment. Some of it’s said — somebody who’s been very vicious to me, Rosie O’Donnell, I said very tough things to her, and I think everybody would agree that she deserves it and nobody feels sorry for her. But you want to know the truth? I was going to say something extremely…	(1:32:31.0)	x						
(1:32:30.2)	HOLT:	Please very quickly.	(1:32:31.0)	x						
(1:32:31.9)	TRUMP:	… rough to Hillary, to her family, and I said to myself, “I can’t do it. I just can’t do it. It’s inappropriate. It’s not nice.” But she spent hundreds of millions of dollars on negative ads on me, many of which are absolutely untrue. They’re untrue. And they’re misrepresentations. And I will tell you this, Lester: It’s not nice. And I don’t deserve that. But it’s certainly not a nice thing that she’s done. It’s hundreds of millions of ads. And the only gratifying thing is, I saw the polls come in today, and with all of that money…	(1:33:07.7)				New audio file starts here		(1:37:21.9)	(1:37:52.7)
(1:33:07.7)	HOLT:	We have to move on to the final question.	(1:33:09.5)				Startcode: 3 minutes 22.4 seconds		(1:37:52.6)	(1:37:54.0)
(1:33:07.9)	TRUMP:	… where $200 million is spent, and I’m either winning or tied, and I’ve spent practically nothing.	(1:33:14.0)	x					(1:37:53.0)	(1:38:02.6)
(1:33:14.1)	HOLT:	One of you will not win this election. So my final question to you tonight, are you willing to accept the outcome as the will of the voters? Secretary Clinton?	(1:33:23.1)						 	
(1:33:59.5)	TRUMP:	I want to make America great again. We are a nation that is seriously troubled. We’re losing our jobs. People are pouring into our country. The other day, we were deporting 800 people. And perhaps they passed the wrong button, they pressed the wrong button, or perhaps worse than that, it was corruption, but these people that we were going to deport for good reason ended up becoming citizens. Ended up becoming citizens. And it was 800. And now it turns out it might be 1,800, and they don’t even know.	(1:34:30.3)						(1:38:02.9)	(1:38:35.9)
(1:34:30.2)	HOLT:	Will you accept the outcome of the election?	(1:34:31.6)	x						
(1:34:30.6)	TRUMP:	Look, here’s the story. I want to make America great again. I’m going to be able to do it. I don’t believe Hillary will. The answer is, if she wins, I will absolutely support her.	(1:34:40.2)	x						
(1:34:40.5)	HOLT:	All right. Well, that is going to do it for us. That concludes our debate for this evening, a spirited one. We covered a lot of ground, not everything as I suspected we would. The next presidential debates are scheduled for October 9th at Washington University in St. Louis and October 19th at the University of Nevada Las Vegas. The conversation will continue. A reminder. The vice presidential debate is scheduled for October 4th at Longwood University in Farmville, Virginia. My thanks to Hillary Clinton and to Donald Trump and to Hofstra University for hosting us tonight. Good night everyone.	(1:35:13.5)		(7:38:23.20)	(7:38:56.20)	PM PT			
